,id,mjd,snid,snra,sndec,z,t0,c,x1,x0,mag_u,mag_g,mag_r,mag_i,mag_z,mag_y
2,obshist2,570123.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
7,obshist2,570126.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
12,obshist2,570129.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
17,obshist2,570132.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
23,obshist2,570135.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
29,obshist2,570138.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
35,obshist2,570141.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
41,obshist2,570144.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
46,obshist2,570147.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
51,obshist2,570150.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
56,obshist2,570153.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
61,obshist2,570156.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
66,obshist2,570159.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
71,obshist2,570162.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
76,obshist2,570165.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
81,obshist2,570168.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
87,obshist3,570171.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
90,obshist1,570174.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
96,obshist2,570177.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,NaN,NaN,NaN,54.4758,52.575
103,obshist4,570180.15,3821204,0.08739883,0.2619005,1.1105,570222.2549,-0.2881002,0.0545,1.50728e-06,NaN,39.005,NaN,39.4733,NaN,NaN
